id,xloc,yloc
1,-32.65,-3.95
2,-32.64,-3.95
3,-32.63,-3.95
4,-32.62,-3.95
5,-32.61,-3.95
6,-32.6,-3.95
7,-32.59,-3.95
8,-32.58,-3.95
9,-32.57,-3.95
10,-32.56,-3.95
11,-32.55,-3.95
12,-32.54,-3.95
13,-32.53,-3.95
14,-32.52,-3.95
15,-32.51,-3.95
16,-32.5,-3.95
17,-32.49,-3.95
18,-32.48,-3.95
19,-32.47,-3.95
20,-32.46,-3.95
21,-32.45,-3.95
22,-32.44,-3.95
23,-32.43,-3.95
24,-32.42,-3.95
25,-32.65,-3.94
26,-32.64,-3.94
27,-32.63,-3.94
28,-32.62,-3.94
29,-32.61,-3.94
30,-32.6,-3.94
31,-32.59,-3.94
32,-32.58,-3.94
33,-32.57,-3.94
34,-32.56,-3.94
35,-32.55,-3.94
36,-32.54,-3.94
37,-32.53,-3.94
38,-32.52,-3.94
39,-32.51,-3.94
40,-32.5,-3.94
41,-32.49,-3.94
42,-32.48,-3.94
43,-32.47,-3.94
44,-32.46,-3.94
45,-32.45,-3.94
46,-32.44,-3.94
47,-32.43,-3.94
48,-32.42,-3.94
49,-32.65,-3.93
50,-32.64,-3.93
51,-32.63,-3.93
52,-32.62,-3.93
53,-32.61,-3.93
54,-32.6,-3.93
55,-32.59,-3.93
56,-32.58,-3.93
57,-32.57,-3.93
58,-32.56,-3.93
59,-32.55,-3.93
60,-32.54,-3.93
61,-32.53,-3.93
62,-32.52,-3.93
63,-32.51,-3.93
64,-32.5,-3.93
65,-32.49,-3.93
66,-32.48,-3.93
67,-32.47,-3.93
68,-32.46,-3.93
69,-32.45,-3.93
70,-32.44,-3.93
71,-32.43,-3.93
72,-32.42,-3.93
73,-32.65,-3.92
74,-32.64,-3.92
75,-32.63,-3.92
76,-32.62,-3.92
77,-32.61,-3.92
78,-32.6,-3.92
79,-32.59,-3.92
80,-32.58,-3.92
81,-32.57,-3.92
82,-32.56,-3.92
83,-32.55,-3.92
84,-32.54,-3.92
85,-32.53,-3.92
86,-32.52,-3.92
87,-32.51,-3.92
88,-32.5,-3.92
89,-32.49,-3.92
90,-32.48,-3.92
91,-32.47,-3.92
92,-32.46,-3.92
93,-32.45,-3.92
94,-32.44,-3.92
95,-32.43,-3.92
96,-32.42,-3.92
97,-32.65,-3.91
98,-32.64,-3.91
99,-32.63,-3.91
100,-32.62,-3.91
101,-32.61,-3.91
102,-32.6,-3.91
103,-32.59,-3.91
104,-32.58,-3.91
105,-32.57,-3.91
106,-32.56,-3.91
107,-32.55,-3.91
108,-32.54,-3.91
109,-32.53,-3.91
110,-32.52,-3.91
111,-32.51,-3.91
112,-32.5,-3.91
113,-32.49,-3.91
114,-32.48,-3.91
115,-32.47,-3.91
116,-32.46,-3.91
117,-32.45,-3.91
118,-32.44,-3.91
119,-32.43,-3.91
120,-32.42,-3.91
121,-32.65,-3.9
122,-32.64,-3.9
123,-32.63,-3.9
124,-32.62,-3.9
125,-32.61,-3.9
126,-32.6,-3.9
127,-32.59,-3.9
128,-32.58,-3.9
129,-32.57,-3.9
130,-32.56,-3.9
131,-32.55,-3.9
132,-32.54,-3.9
133,-32.53,-3.9
134,-32.52,-3.9
135,-32.51,-3.9
136,-32.5,-3.9
137,-32.49,-3.9
138,-32.48,-3.9
139,-32.47,-3.9
140,-32.46,-3.9
141,-32.45,-3.9
142,-32.44,-3.9
143,-32.43,-3.9
144,-32.42,-3.9
145,-32.65,-3.89
146,-32.64,-3.89
147,-32.63,-3.89
148,-32.62,-3.89
149,-32.61,-3.89
150,-32.6,-3.89
151,-32.59,-3.89
152,-32.58,-3.89
153,-32.57,-3.89
154,-32.56,-3.89
155,-32.55,-3.89
156,-32.54,-3.89
157,-32.53,-3.89
158,-32.52,-3.89
159,-32.51,-3.89
160,-32.5,-3.89
161,-32.49,-3.89
162,-32.48,-3.89
163,-32.47,-3.89
164,-32.46,-3.89
165,-32.45,-3.89
166,-32.44,-3.89
167,-32.43,-3.89
168,-32.42,-3.89
169,-32.65,-3.88
170,-32.64,-3.88
171,-32.63,-3.88
172,-32.62,-3.88
173,-32.61,-3.88
